"name","type","location"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureMonitorWindowsAgent","microsoft.compute/virtualmachines/extensions","centralus"
"AzureNetworkWatcherExtension","microsoft.compute/virtualmachines/extensions","centralus"
"AzureNetworkWatcherExtension","microsoft.compute/virtualmachines/extensions","eastus2"
"AzureNetworkWatcherExtension","microsoft.compute/virtualmachines/extensions","centralus"
"AzureNetworkWatcherExtension","microsoft.compute/virtualmachines/extensions","centralus"
